Name,File Name,File
disc,disc.svg,https://wentin.github.io/feather/icons/disc.svg
divide circle,divide-circle.svg,https://wentin.github.io/feather/icons/divide-circle.svg
divide square,divide-square.svg,https://wentin.github.io/feather/icons/divide-square.svg
divide,divide.svg,https://wentin.github.io/feather/icons/divide.svg
dollar sign,dollar-sign.svg,https://wentin.github.io/feather/icons/dollar-sign.svg
download cloud,download-cloud.svg,https://wentin.github.io/feather/icons/download-cloud.svg
download,download.svg,https://wentin.github.io/feather/icons/download.svg
dribbble,dribbble.svg,https://wentin.github.io/feather/icons/dribbble.svg
droplet,droplet.svg,https://wentin.github.io/feather/icons/droplet.svg
edit 2,edit-2.svg,https://wentin.github.io/feather/icons/edit-2.svg
edit 3,edit-3.svg,https://wentin.github.io/feather/icons/edit-3.svg
edit,edit.svg,https://wentin.github.io/feather/icons/edit.svg
external link,external-link.svg,https://wentin.github.io/feather/icons/external-link.svg
eye off,eye-off.svg,https://wentin.github.io/feather/icons/eye-off.svg
eye,eye.svg,https://wentin.github.io/feather/icons/eye.svg
facebook,facebook.svg,https://wentin.github.io/feather/icons/facebook.svg
fast forward,fast-forward.svg,https://wentin.github.io/feather/icons/fast-forward.svg
feather,feather.svg,https://wentin.github.io/feather/icons/feather.svg
figma,figma.svg,https://wentin.github.io/feather/icons/figma.svg
file minus,file-minus.svg,https://wentin.github.io/feather/icons/file-minus.svg
file plus,file-plus.svg,https://wentin.github.io/feather/icons/file-plus.svg
file text,file-text.svg,https://wentin.github.io/feather/icons/file-text.svg
file,file.svg,https://wentin.github.io/feather/icons/file.svg
film,film.svg,https://wentin.github.io/feather/icons/film.svg
filter,filter.svg,https://wentin.github.io/feather/icons/filter.svg
flag,flag.svg,https://wentin.github.io/feather/icons/flag.svg
folder minus,folder-minus.svg,https://wentin.github.io/feather/icons/folder-minus.svg
folder plus,folder-plus.svg,https://wentin.github.io/feather/icons/folder-plus.svg
folder,folder.svg,https://wentin.github.io/feather/icons/folder.svg
framer,framer.svg,https://wentin.github.io/feather/icons/framer.svg
frown,frown.svg,https://wentin.github.io/feather/icons/frown.svg
gift,gift.svg,https://wentin.github.io/feather/icons/gift.svg
git branch,git-branch.svg,https://wentin.github.io/feather/icons/git-branch.svg
git commit,git-commit.svg,https://wentin.github.io/feather/icons/git-commit.svg
git merge,git-merge.svg,https://wentin.github.io/feather/icons/git-merge.svg
git pull request,git-pull-request.svg,https://wentin.github.io/feather/icons/git-pull-request.svg
github,github.svg,https://wentin.github.io/feather/icons/github.svg
gitlab,gitlab.svg,https://wentin.github.io/feather/icons/gitlab.svg
globe,globe.svg,https://wentin.github.io/feather/icons/globe.svg
grid,grid.svg,https://wentin.github.io/feather/icons/grid.svg
hard drive,hard-drive.svg,https://wentin.github.io/feather/icons/hard-drive.svg
hash,hash.svg,https://wentin.github.io/feather/icons/hash.svg
headphones,headphones.svg,https://wentin.github.io/feather/icons/headphones.svg
heart,heart.svg,https://wentin.github.io/feather/icons/heart.svg
help circle,help-circle.svg,https://wentin.github.io/feather/icons/help-circle.svg
hexagon,hexagon.svg,https://wentin.github.io/feather/icons/hexagon.svg
home,home.svg,https://wentin.github.io/feather/icons/home.svg
image,image.svg,https://wentin.github.io/feather/icons/image.svg
inbox,inbox.svg,https://wentin.github.io/feather/icons/inbox.svg
info,info.svg,https://wentin.github.io/feather/icons/info.svg
instagram,instagram.svg,https://wentin.github.io/feather/icons/instagram.svg
italic,italic.svg,https://wentin.github.io/feather/icons/italic.svg
key,key.svg,https://wentin.github.io/feather/icons/key.svg
layers,layers.svg,https://wentin.github.io/feather/icons/layers.svg
layout,layout.svg,https://wentin.github.io/feather/icons/layout.svg
life buoy,life-buoy.svg,https://wentin.github.io/feather/icons/life-buoy.svg
link 2,link-2.svg,https://wentin.github.io/feather/icons/link-2.svg
link,link.svg,https://wentin.github.io/feather/icons/link.svg
linkedin,linkedin.svg,https://wentin.github.io/feather/icons/linkedin.svg
list,list.svg,https://wentin.github.io/feather/icons/list.svg
loader,loader.svg,https://wentin.github.io/feather/icons/loader.svg
lock,lock.svg,https://wentin.github.io/feather/icons/lock.svg
log in,log-in.svg,https://wentin.github.io/feather/icons/log-in.svg
log out,log-out.svg,https://wentin.github.io/feather/icons/log-out.svg
mail,mail.svg,https://wentin.github.io/feather/icons/mail.svg
map pin,map-pin.svg,https://wentin.github.io/feather/icons/map-pin.svg
map,map.svg,https://wentin.github.io/feather/icons/map.svg
maximize 2,maximize-2.svg,https://wentin.github.io/feather/icons/maximize-2.svg
maximize,maximize.svg,https://wentin.github.io/feather/icons/maximize.svg
meh,meh.svg,https://wentin.github.io/feather/icons/meh.svg
menu,menu.svg,https://wentin.github.io/feather/icons/menu.svg
message circle,message-circle.svg,https://wentin.github.io/feather/icons/message-circle.svg
message square,message-square.svg,https://wentin.github.io/feather/icons/message-square.svg
mic off,mic-off.svg,https://wentin.github.io/feather/icons/mic-off.svg
mic,mic.svg,https://wentin.github.io/feather/icons/mic.svg
minimize 2,minimize-2.svg,https://wentin.github.io/feather/icons/minimize-2.svg
minimize,minimize.svg,https://wentin.github.io/feather/icons/minimize.svg
minus circle,minus-circle.svg,https://wentin.github.io/feather/icons/minus-circle.svg
minus square,minus-square.svg,https://wentin.github.io/feather/icons/minus-square.svg
minus,minus.svg,https://wentin.github.io/feather/icons/minus.svg
monitor,monitor.svg,https://wentin.github.io/feather/icons/monitor.svg
moon,moon.svg,https://wentin.github.io/feather/icons/moon.svg
more horizontal,more-horizontal.svg,https://wentin.github.io/feather/icons/more-horizontal.svg
more vertical,more-vertical.svg,https://wentin.github.io/feather/icons/more-vertical.svg
mouse pointer,mouse-pointer.svg,https://wentin.github.io/feather/icons/mouse-pointer.svg
move,move.svg,https://wentin.github.io/feather/icons/move.svg
music,music.svg,https://wentin.github.io/feather/icons/music.svg
navigation 2,navigation-2.svg,https://wentin.github.io/feather/icons/navigation-2.svg
navigation,navigation.svg,https://wentin.github.io/feather/icons/navigation.svg
octagon,octagon.svg,https://wentin.github.io/feather/icons/octagon.svg
package,package.svg,https://wentin.github.io/feather/icons/package.svg
paperclip,paperclip.svg,https://wentin.github.io/feather/icons/paperclip.svg
pause circle,pause-circle.svg,https://wentin.github.io/feather/icons/pause-circle.svg
pause,pause.svg,https://wentin.github.io/feather/icons/pause.svg
pen tool,pen-tool.svg,https://wentin.github.io/feather/icons/pen-tool.svg
percent,percent.svg,https://wentin.github.io/feather/icons/percent.svg
phone call,phone-call.svg,https://wentin.github.io/feather/icons/phone-call.svg
phone forwarded,phone-forwarded.svg,https://wentin.github.io/feather/icons/phone-forwarded.svg
phone incoming,phone-incoming.svg,https://wentin.github.io/feather/icons/phone-incoming.svg
phone missed,phone-missed.svg,https://wentin.github.io/feather/icons/phone-missed.svg
phone off,phone-off.svg,https://wentin.github.io/feather/icons/phone-off.svg
phone outgoing,phone-outgoing.svg,https://wentin.github.io/feather/icons/phone-outgoing.svg
phone,phone.svg,https://wentin.github.io/feather/icons/phone.svg
pie chart,pie-chart.svg,https://wentin.github.io/feather/icons/pie-chart.svg
play circle,play-circle.svg,https://wentin.github.io/feather/icons/play-circle.svg
play,play.svg,https://wentin.github.io/feather/icons/play.svg
plus circle,plus-circle.svg,https://wentin.github.io/feather/icons/plus-circle.svg
plus square,plus-square.svg,https://wentin.github.io/feather/icons/plus-square.svg
plus,plus.svg,https://wentin.github.io/feather/icons/plus.svg
pocket,pocket.svg,https://wentin.github.io/feather/icons/pocket.svg
power,power.svg,https://wentin.github.io/feather/icons/power.svg
printer,printer.svg,https://wentin.github.io/feather/icons/printer.svg
radio,radio.svg,https://wentin.github.io/feather/icons/radio.svg
refresh ccw,refresh-ccw.svg,https://wentin.github.io/feather/icons/refresh-ccw.svg
refresh cw,refresh-cw.svg,https://wentin.github.io/feather/icons/refresh-cw.svg
repeat,repeat.svg,https://wentin.github.io/feather/icons/repeat.svg
rewind,rewind.svg,https://wentin.github.io/feather/icons/rewind.svg
rotate ccw,rotate-ccw.svg,https://wentin.github.io/feather/icons/rotate-ccw.svg
rotate cw,rotate-cw.svg,https://wentin.github.io/feather/icons/rotate-cw.svg
rss,rss.svg,https://wentin.github.io/feather/icons/rss.svg
save,save.svg,https://wentin.github.io/feather/icons/save.svg
scissors,scissors.svg,https://wentin.github.io/feather/icons/scissors.svg
search,search.svg,https://wentin.github.io/feather/icons/search.svg
send,send.svg,https://wentin.github.io/feather/icons/send.svg
server,server.svg,https://wentin.github.io/feather/icons/server.svg
settings,settings.svg,https://wentin.github.io/feather/icons/settings.svg
share 2,share-2.svg,https://wentin.github.io/feather/icons/share-2.svg
share,share.svg,https://wentin.github.io/feather/icons/share.svg
shield off,shield-off.svg,https://wentin.github.io/feather/icons/shield-off.svg
shield,shield.svg,https://wentin.github.io/feather/icons/shield.svg
shopping bag,shopping-bag.svg,https://wentin.github.io/feather/icons/shopping-bag.svg
shopping cart,shopping-cart.svg,https://wentin.github.io/feather/icons/shopping-cart.svg
shuffle,shuffle.svg,https://wentin.github.io/feather/icons/shuffle.svg
sidebar,sidebar.svg,https://wentin.github.io/feather/icons/sidebar.svg
skip back,skip-back.svg,https://wentin.github.io/feather/icons/skip-back.svg
skip forward,skip-forward.svg,https://wentin.github.io/feather/icons/skip-forward.svg
slack,slack.svg,https://wentin.github.io/feather/icons/slack.svg
slash,slash.svg,https://wentin.github.io/feather/icons/slash.svg
sliders,sliders.svg,https://wentin.github.io/feather/icons/sliders.svg
smartphone,smartphone.svg,https://wentin.github.io/feather/icons/smartphone.svg
smile,smile.svg,https://wentin.github.io/feather/icons/smile.svg
speaker,speaker.svg,https://wentin.github.io/feather/icons/speaker.svg
square,square.svg,https://wentin.github.io/feather/icons/square.svg
star,star.svg,https://wentin.github.io/feather/icons/star.svg
stop circle,stop-circle.svg,https://wentin.github.io/feather/icons/stop-circle.svg
sun,sun.svg,https://wentin.github.io/feather/icons/sun.svg
sunrise,sunrise.svg,https://wentin.github.io/feather/icons/sunrise.svg
sunset,sunset.svg,https://wentin.github.io/feather/icons/sunset.svg
tablet,tablet.svg,https://wentin.github.io/feather/icons/tablet.svg
tag,tag.svg,https://wentin.github.io/feather/icons/tag.svg
